id,review_text,date
1,"The acting was phenomenal, truly Oscar-worthy performance.",2026-02-01
2,"CGI looked fake and took me out of the movie.",2026-02-02
3,"The pacing was so slow, I almost fell asleep halfway through.",2026-02-03
4,"Great acting but the plot had holes you could drive a truck through.",2026-02-04
5,"Movie dragged on forever, needed much tighter editing.",2026-02-05
6,"Cinematography was stunning, every frame could be a painting.",2026-02-06
7,"The dialogue felt unnatural and forced, nobody talks like that.",2026-02-07
8,"Soundtrack was forgettable, didn't add anything to the experience.",2026-02-08
9,"The director's vision really shone through in every scene.",2026-02-09
10,"The tempo was completely wrong for what should have been an action film.",2026-02-10
11,"Lead actor carried the entire movie on his shoulders.",2026-02-11
12,"Visual effects were groundbreaking, never seen anything like it.",2026-02-12
13,"Story was predictable and boring, saw the ending coming a mile away.",2026-02-13
14,"Another movie ruined by painfully slow pacing.",2026-02-14
15,"Acting was wooden and unconvincing, felt like reading lines.",2026-02-15
16,"The film's rhythm was perfectly balanced, flowed beautifully.",2026-02-16
17,"Explosions looked cheap and unconvincing, low budget feel.",2026-02-17
18,"Plot twists were genuinely surprising, kept me on edge.",2026-02-18
19,"Felt like a 3-hour film crammed into 90 minutes, too rushed.",2026-02-19
20,"Supporting cast stole every scene they were in.",2026-02-20
